ticker,name,final_group,previous_group,action,status,evidence
039030,"이오테크닉스",패키징 장비,패키징 장비,keep_group,confirmed,"레이저 마킹·컷 등 패키징 공정 장비 — 현 그룹 확정"
232140,"와이씨",검사·계측 장비,검사·계측 장비,keep_group,confirmed,"결함·번인 검사 장비 — 현 그룹 확정"
003160,"디아이",검사·계측 장비,검사·계측 장비,keep_group,confirmed,"반도체 검사 장비 — 현 그룹 확정"
332570,"PS일렉트로닉스",검사·계측 장비,검사·계측 장비,keep_group,confirmed,"검사·계측 장비 — 현 그룹 확정"
059090,"미코",공정 부품·유지관리,공정 부품·유지관리,keep_group,confirmed,"공정 부품·세정 부품 — 현 그룹 확정"
178320,"서진시스템",공정 부품·유지관리,공정 부품·유지관리,keep_group,confirmed,"공정 부품·기구물 (ESS 주력 비중↑ 모니터링) — 그룹 유지"
272290,"이녹스첨단소재",기판·패키징 소재,기판·패키징 소재,keep_group,confirmed,"FPCB/패키징 소재 — 현 그룹 확정"
327260,"RF머트리얼즈",기판·패키징 소재,기판·패키징 소재,keep_group,confirmed,"RF·세라믹 기판·패키징 소재 — 현 그룹 확정"
219130,"타이거일렉",테스트 부품·인터페이스,테스트 부품·인터페이스,keep_group,confirmed,"테스트 보드·인터페이스 — 현 그룹 확정"
039440,"에스티아이",팹 인프라·지원설비,팹 인프라·지원설비,keep_group,confirmed,"CCSS·유틸리티 — 현 그룹 확정"
417840,"저스템",팹 인프라·지원설비,팹 인프라·지원설비,keep_group,confirmed,"팹 유틸리티·환경설비 — 현 그룹 확정"
144960,"뉴파워프라즈마",팹 인프라·지원설비,팹 인프라·지원설비,keep_group,confirmed,"플라즈마·팹 설비 (방산 매출 비중↑ 모니터링) — 그룹 유지"
241770,"메카로",공정 부품·유지관리,공정 소재,chain_corrected,confirmed,"메카로 — 공정 부품·유지관리로 정정 확정"
036810,"에프에스티",공정 소재,팹 인프라·지원설비,chain_corrected,confirmed,"에프에스티 — 칠러/TCU 태그, 공정 소재로 정정"
078600,"대주전자재료",기판·패키징 소재,공정 소재,chain_corrected,confirmed,"대주전자재료 — 기판·패키징 소재로 정정 (배터리 주력 모니터링)"
036830,"솔브레인홀딩스",holdings/반도체,공정 소재,moved_holdings,confirmed,"솔브레인홀딩스 — 지주 성격, holdings(반도체)로 이동"
