sector,n_companies,n_groups,axis_label,groups,batch
bigchip,2,1,"밸류체인","IDM/종합반도체",immutable
semi,82,13,"밸류체인","팹리스·IP|디자인하우스|파운드리|전공정 장비|패키징 장비|검사·계측 장비|공정 소재|공정 부품·유지관리|기판·패키징 소재|테스트 부품·인터페이스|패키징·테스트 서비스|팹 인프라·지원설비|반도체 유통",semi
battery,25,10,"밸류체인","원료·정제|양극재·전구체|음극재|전해액·전해질|분리막|집전체·기타 소재|셀 제조|모듈·팩·시스템 부품|제조·검사 장비|재사용·재활용",A
renewable,13,6,"밸류체인","핵심 소재·부품|발전설비 제조|구조물·보조설비|개발·EPC|발전 운영·유지보수|수소·연료전지",A
nuclear,7,7,"밸류체인","설계·엔지니어링|건설·EPC|원자로·주기기|보조기기·소재|계측·제어|정비·운영지원|연료·해체·폐기물",A
powergrid,17,7,"밸류체인","변압기|개폐·배전기기|전선·케이블|전력변환·제어|전력망 시공·서비스|발전·비상전원 설비|유틸리티",A
chemical,27,10,"밸류체인","정유·석유제품|가스|기초유분·석유화학|합성수지·고무|섬유·산업소재|정밀·특수화학|전자·첨단소재|비료·농화학|화학 유통|포장재",B
metal,15,8,"밸류체인","종합 철강|판재·도금강판|봉형강·선재|강관|특수강·단조|비철 제련|비철 가공·첨단금속|금속 유통·가공서비스",B
machinery,5,7,"밸류체인","건설기계|공작·금속가공기계|물류·운반기계|승강기|산업용 설비|핵심부품·공구|유지보수·서비스",B
construction,20,8,"밸류체인","종합건설|주택·개발|플랜트·EPC|토목·인프라|전문건설·엔지니어링|시멘트·기초 건자재|마감재·인테리어|부동산 서비스",B
auto,24,8,"밸류체인","완성차|구동·파워트레인|섀시·안전|차체·내외장|전장·차량 소프트웨어|열관리|타이어|유통·모빌리티 서비스",C
ship,17,8,"밸류체인","조선|엔진·추진|선체·구조물|탱크·보냉|배관·의장|전장·항해·제어|해양플랜트 설비|유지보수·개조",C
shipping,6,8,"밸류체인","컨테이너 해운|벌크 해운|탱커·가스 운송|자동차·특수화물 운송|종합물류|택배·풀필먼트|포워딩·국제물류|항만·터미널",C
defense,11,8,"밸류체인","육상체계|유도무기·탄약|항공체계·엔진|해양 방산|방산전자·센서|우주·위성|소재·핵심부품|정비·지원",C
elec,27,7,"밸류체인","가전·생활기기|디스플레이 패널|디스플레이 장비|디스플레이 소재|전자부품·기판|카메라·광학·센서|전자제품 제조·조립",D
software,21,7,"밸류체인","인터넷 플랫폼|IT서비스·SI|클라우드·인터넷 인프라|기업 소프트웨어|AI 소프트웨어|보안·인증|결제·데이터 인프라",D+G
telecom,10,5,"밸류체인","통신서비스|무선통신 장비|광통신 부품·장비|네트워크 장비|위성통신 장비",D
robot,15,5,"밸류체인","완성로봇|구동부품|센싱·정밀부품|제어·로봇 소프트웨어|자동화·시스템 통합",D
bio,64,8,"밸류체인","종합 제약|신약개발|바이오시밀러|백신·혈액제제|CDMO·CMO|원료의약품·생산소재|연구도구·서비스|제약·바이오 지주",E
medtech,16,9,"밸류체인","체외진단|영상진단 장비|의료AI·소프트웨어|생체측정·모니터링|치과|수술·치료 장비|재활·보조기기|의료소모품·재생재료|연구·분석 장비",E
cosmetics,19,8,"밸류체인","화장품 브랜드|화장품 ODM·OEM|원료·소재|용기·부자재|유통·채널|홈뷰티 기기|미용 의료장비|에스테틱 의약품·소모품",E
kconsume,35,10,"밸류체인","가공식품|음료·주류|식품소재·급식|농축수산·가공|담배·건강소비재|패션 브랜드|의류 제조|유통|가구·생활소비재|종합상사",F
kcontent,25,9,"밸류체인","게임|음악·엔터테인먼트|팬덤 플랫폼|영상 제작·IP|웹툰·출판|방송·스트리밍|극장·배급|광고·마케팅|교육서비스",F
travel,11,6,"밸류체인","항공운송|여행·예약|호텔·리조트|카지노|레저·스포츠|면세",F
finance,50,11,"밸류체인","은행·은행계 금융그룹|비은행 금융그룹|증권|생명보험|손해보험·재보험|카드·캐피탈·여신금융|자산운용·PE·VC|결제·핀테크|금융정보·평가|보험판매·중개|부동산금융·투자기구",G
holdings,48,9,"주요 투자·사업영역","복합사업|IT·전자|에너지·화학|소재·산업재|소비·유통|건설·부동산|운송·물류|헬스케어|금융",G
